index,actual,predicted,probability,cumulative_pos
1,0.0,0.0,0.0,0
2,1.0,1.0,1.0,1
3,0.0,0.0,0.0,1
4,0.0,0.0,0.5,1
5,0.0,0.0,0.0,1
6,0.0,0.0,0.0,1
7,0.0,0.0,0.0,1
8,0.0,0.0,0.0,1
9,0.0,0.0,0.0,1
10,1.0,1.0,1.0,2
11,1.0,0.0,0.5,3
12,0.0,0.0,0.0,3
13,0.0,0.0,0.0,3
14,0.0,0.0,0.0,3
15,0.0,0.0,0.0,3
16,0.0,0.0,0.0,3
17,0.0,0.0,0.0,3
18,0.0,0.0,0.0,3
19,0.0,0.0,0.0,3
20,0.0,0.0,0.0,3
21,0.0,0.0,0.0,3
22,0.0,0.0,0.0,3
23,0.0,0.0,0.0,3
24,0.0,0.0,0.0,3
25,0.0,0.0,0.0,3
26,0.0,0.0,0.0,3
27,0.0,0.0,0.0,3
28,0.0,0.0,0.0,3
29,1.0,1.0,1.0,4
30,0.0,0.0,0.0,4
31,0.0,0.0,0.0,4
32,1.0,1.0,1.0,5
33,0.0,0.0,0.0,5
34,0.0,0.0,0.0,5
35,0.0,0.0,0.2,5
36,0.0,0.0,0.0,5
37,0.0,0.0,0.0,5
38,0.0,0.0,0.0,5
39,0.0,1.0,0.6666666666666666,5
40,0.0,0.0,0.0,5
41,0.0,0.0,0.0,5
42,0.0,0.0,0.0,5
43,0.0,0.0,0.0,5
44,0.0,0.0,0.0,5
45,0.0,0.0,0.0,5
46,1.0,0.0,0.5,6
47,1.0,1.0,1.0,7
48,0.0,0.0,0.0,7
49,0.0,0.0,0.0,7
50,0.0,0.0,0.0,7
51,0.0,0.0,0.0,7
52,0.0,0.0,0.0,7
53,1.0,0.0,0.2,8
54,0.0,0.0,0.0,8
55,0.0,0.0,0.0,8
56,0.0,0.0,0.0,8
57,0.0,0.0,0.0,8
58,0.0,0.0,0.0,8
59,0.0,0.0,0.0,8
60,0.0,0.0,0.0,8
61,1.0,1.0,0.6666666666666666,9
62,0.0,0.0,0.0,9
63,1.0,1.0,1.0,10
64,0.0,0.0,0.0,10
65,0.0,0.0,0.0,10
66,0.0,0.0,0.0,10
67,0.0,0.0,0.0,10
68,0.0,0.0,0.0,10
69,0.0,0.0,0.0,10
70,1.0,0.0,0.25,11
71,1.0,1.0,1.0,12
72,0.0,0.0,0.0,12
73,0.0,0.0,0.0,12
74,0.0,0.0,0.5,12
75,1.0,1.0,1.0,13
76,0.0,0.0,0.0,13
77,0.0,0.0,0.0,13
78,0.0,0.0,0.0,13
79,0.0,0.0,0.0,13
80,0.0,0.0,0.0,13
81,1.0,1.0,1.0,14
82,0.0,0.0,0.0,14
83,0.0,0.0,0.0,14
84,0.0,0.0,0.0,14
85,1.0,1.0,1.0,15
86,0.0,0.0,0.0,15
87,0.0,0.0,0.0,15
88,0.0,0.0,0.0,15
89,1.0,1.0,0.6666666666666666,16
90,0.0,0.0,0.0,16
91,1.0,1.0,0.6666666666666666,17
92,0.0,0.0,0.0,17
93,0.0,0.0,0.0,17
94,0.0,0.0,0.0,17
95,0.0,0.0,0.0,17
96,1.0,1.0,1.0,18
97,0.0,0.0,0.0,18
98,0.0,0.0,0.0,18
99,0.0,0.0,0.0,18
100,0.0,0.0,0.0,18
101,0.0,0.0,0.0,18
102,0.0,0.0,0.0,18
103,1.0,1.0,0.8,19
104,0.0,0.0,0.0,19
105,0.0,0.0,0.0,19
106,0.0,0.0,0.0,19
107,0.0,0.0,0.0,19
108,0.0,0.0,0.0,19
109,0.0,0.0,0.0,19
110,0.0,0.0,0.0,19
111,1.0,1.0,0.6666666666666666,20
112,0.0,0.0,0.0,20
113,0.0,0.0,0.0,20
114,0.0,0.0,0.0,20
115,0.0,0.0,0.0,20
116,0.0,0.0,0.0,20
117,0.0,0.0,0.0,20
118,0.0,0.0,0.25,20
119,0.0,0.0,0.0,20
120,0.0,0.0,0.0,20
121,0.0,0.0,0.0,20
122,0.0,0.0,0.0,20
123,0.0,0.0,0.0,20
124,0.0,0.0,0.0,20
125,1.0,1.0,1.0,21
126,0.0,0.0,0.0,21
127,0.0,0.0,0.0,21
128,0.0,0.0,0.0,21
129,0.0,0.0,0.0,21
130,0.0,0.0,0.25,21
131,1.0,1.0,1.0,22
132,0.0,0.0,0.0,22
133,0.0,0.0,0.0,22
134,0.0,0.0,0.0,22
135,0.0,0.0,0.0,22
136,0.0,0.0,0.0,22
137,0.0,0.0,0.0,22
138,0.0,0.0,0.0,22
139,0.0,0.0,0.0,22
140,1.0,1.0,1.0,23
141,0.0,0.0,0.0,23
142,0.0,0.0,0.0,23
143,1.0,1.0,1.0,24
144,0.0,0.0,0.0,24
145,0.0,0.0,0.0,24
146,1.0,1.0,0.6666666666666666,25
147,0.0,0.0,0.0,25
148,0.0,0.0,0.0,25
149,0.0,0.0,0.0,25
150,0.0,0.0,0.0,25
151,0.0,0.0,0.0,25
152,0.0,0.0,0.0,25
153,0.0,0.0,0.0,25
154,0.0,0.0,0.0,25
155,0.0,0.0,0.0,25
156,0.0,0.0,0.0,25
157,0.0,0.0,0.0,25
158,0.0,0.0,0.0,25
159,0.0,0.0,0.0,25
160,0.0,1.0,0.6,25
161,0.0,0.0,0.0,25
162,0.0,0.0,0.0,25
163,0.0,0.0,0.0,25
164,0.0,0.0,0.0,25
165,1.0,1.0,1.0,26
166,0.0,0.0,0.0,26
167,0.0,0.0,0.0,26
168,1.0,1.0,1.0,27
169,0.0,0.0,0.0,27
170,1.0,1.0,1.0,28
171,1.0,1.0,0.6,29
172,0.0,0.0,0.0,29
173,0.0,0.0,0.0,29
174,0.0,0.0,0.0,29
175,1.0,1.0,1.0,30
176,0.0,0.0,0.0,30
177,0.0,0.0,0.0,30
178,0.0,0.0,0.0,30
179,0.0,0.0,0.0,30
180,0.0,0.0,0.0,30
181,1.0,1.0,1.0,31
182,0.0,0.0,0.3333333333333333,31
183,0.0,0.0,0.0,31
184,0.0,0.0,0.0,31
185,0.0,0.0,0.5,31
186,0.0,0.0,0.0,31
187,0.0,0.0,0.0,31
188,0.0,0.0,0.0,31
189,0.0,0.0,0.0,31
190,1.0,0.0,0.3333333333333333,32
191,0.0,0.0,0.0,32
192,0.0,0.0,0.0,32
193,1.0,1.0,1.0,33
194,0.0,0.0,0.0,33
195,1.0,1.0,1.0,34
196,0.0,0.0,0.0,34
197,0.0,0.0,0.0,34
198,0.0,0.0,0.0,34
199,0.0,0.0,0.0,34
200,0.0,0.0,0.0,34
201,1.0,1.0,1.0,35
202,1.0,1.0,1.0,36
203,1.0,1.0,1.0,37
204,0.0,0.0,0.0,37
205,0.0,0.0,0.3333333333333333,37
206,0.0,0.0,0.0,37
207,0.0,0.0,0.0,37
208,0.0,0.0,0.0,37
209,0.0,0.0,0.0,37
210,0.0,0.0,0.0,37
211,0.0,0.0,0.0,37
212,0.0,0.0,0.0,37
213,0.0,0.0,0.0,37
214,0.0,0.0,0.0,37
215,0.0,0.0,0.0,37
216,0.0,0.0,0.0,37
217,0.0,0.0,0.0,37
218,0.0,0.0,0.0,37
219,0.0,0.0,0.0,37
220,0.0,0.0,0.0,37
221,0.0,0.0,0.0,37
222,0.0,0.0,0.0,37
223,0.0,0.0,0.0,37
224,0.0,0.0,0.0,37
225,0.0,0.0,0.0,37
226,0.0,0.0,0.0,37
227,0.0,0.0,0.0,37
228,0.0,0.0,0.0,37
229,1.0,1.0,1.0,38
230,0.0,0.0,0.3333333333333333,38
231,0.0,0.0,0.0,38
232,0.0,0.0,0.0,38
233,0.0,0.0,0.0,38
234,0.0,0.0,0.0,38
235,1.0,1.0,1.0,39
236,0.0,0.0,0.0,39
237,0.0,0.0,0.0,39
238,1.0,1.0,0.6666666666666666,40
239,1.0,1.0,1.0,41
240,0.0,0.0,0.0,41
241,1.0,0.0,0.5,42
