index,actual,predicted,probability,cumul_pos,cost,revenue,profit
2,1.0,1.0,1.0,1,4,15,11
10,1.0,1.0,1.0,2,8,30,22
29,1.0,1.0,1.0,3,12,45,33
47,1.0,1.0,1.0,4,16,60,44
63,1.0,1.0,1.0,5,20,75,55
71,1.0,1.0,1.0,6,24,90,66
75,1.0,1.0,1.0,7,28,105,77
81,1.0,1.0,1.0,8,32,120,88
85,1.0,1.0,1.0,9,36,135,99
89,1.0,1.0,1.0,10,40,150,110
96,1.0,1.0,1.0,11,44,165,121
103,1.0,1.0,1.0,12,48,180,132
125,1.0,1.0,1.0,13,52,195,143
131,1.0,1.0,1.0,14,56,210,154
140,1.0,1.0,1.0,15,60,225,165
146,1.0,1.0,1.0,16,64,240,176
165,1.0,1.0,1.0,17,68,255,187
168,1.0,1.0,1.0,18,72,270,198
170,1.0,1.0,1.0,19,76,285,209
175,1.0,1.0,1.0,20,80,300,220
181,1.0,1.0,1.0,21,84,315,231
193,1.0,1.0,1.0,22,88,330,242
195,1.0,1.0,1.0,23,92,345,253
201,1.0,1.0,1.0,24,96,360,264
202,1.0,1.0,1.0,25,100,375,275
203,1.0,1.0,1.0,26,104,390,286
229,1.0,1.0,1.0,27,108,405,297
235,1.0,1.0,1.0,28,112,420,308
239,1.0,1.0,1.0,29,116,435,319
260,1.0,1.0,1.0,30,120,450,330
262,1.0,1.0,1.0,31,124,465,341
275,1.0,1.0,1.0,32,128,480,352
276,1.0,1.0,1.0,33,132,495,363
287,1.0,1.0,1.0,34,136,510,374
293,1.0,1.0,1.0,35,140,525,385
307,1.0,1.0,1.0,36,144,540,396
309,1.0,1.0,1.0,37,148,555,407
311,1.0,1.0,1.0,38,152,570,418
317,1.0,1.0,1.0,39,156,585,429
323,1.0,1.0,1.0,40,160,600,440
332,1.0,1.0,1.0,41,164,615,451
335,1.0,1.0,1.0,42,168,630,462
338,1.0,1.0,1.0,43,172,645,473
340,1.0,1.0,1.0,44,176,660,484
361,1.0,1.0,1.0,45,180,675,495
390,1.0,1.0,1.0,46,184,690,506
395,1.0,1.0,1.0,47,188,705,517
406,1.0,1.0,1.0,48,192,720,528
426,1.0,1.0,1.0,49,196,735,539
427,1.0,1.0,1.0,50,200,750,550
430,1.0,1.0,1.0,51,204,765,561
435,1.0,1.0,1.0,52,208,780,572
438,1.0,1.0,1.0,53,212,795,583
443,1.0,1.0,1.0,54,216,810,594
446,1.0,1.0,1.0,55,220,825,605
449,1.0,1.0,1.0,56,224,840,616
454,1.0,1.0,1.0,57,228,855,627
458,1.0,1.0,1.0,58,232,870,638
465,1.0,1.0,1.0,59,236,885,649
486,1.0,1.0,1.0,60,240,900,660
500,1.0,1.0,1.0,61,244,915,671
503,1.0,1.0,1.0,62,248,930,682
543,1.0,1.0,1.0,63,252,945,693
550,1.0,1.0,1.0,64,256,960,704
553,1.0,1.0,1.0,65,260,975,715
578,1.0,1.0,1.0,66,264,990,726
580,1.0,1.0,1.0,67,268,1005,737
601,1.0,1.0,1.0,68,272,1020,748
607,1.0,1.0,1.0,69,276,1035,759
610,1.0,1.0,1.0,70,280,1050,770
617,1.0,1.0,1.0,71,284,1065,781
656,1.0,1.0,1.0,72,288,1080,792
662,1.0,1.0,1.0,73,292,1095,803
668,1.0,1.0,1.0,74,296,1110,814
669,1.0,1.0,1.0,75,300,1125,825
677,1.0,1.0,1.0,76,304,1140,836
679,1.0,1.0,1.0,77,308,1155,847
699,1.0,1.0,1.0,78,312,1170,858
719,1.0,1.0,1.0,79,316,1185,869
726,1.0,1.0,1.0,80,320,1200,880
731,1.0,1.0,1.0,81,324,1215,891
735,1.0,1.0,1.0,82,328,1230,902
744,1.0,1.0,1.0,83,332,1245,913
748,1.0,1.0,1.0,84,336,1260,924
759,1.0,1.0,1.0,85,340,1275,935
775,1.0,1.0,1.0,86,344,1290,946
817,1.0,1.0,1.0,87,348,1305,957
818,1.0,1.0,1.0,88,352,1320,968
820,1.0,1.0,1.0,89,356,1335,979
826,1.0,1.0,1.0,90,360,1350,990
844,1.0,1.0,1.0,91,364,1365,1001
851,1.0,1.0,1.0,92,368,1380,1012
853,1.0,1.0,1.0,93,372,1395,1023
857,1.0,1.0,1.0,94,376,1410,1034
863,1.0,1.0,1.0,95,380,1425,1045
875,1.0,1.0,1.0,96,384,1440,1056
876,1.0,1.0,1.0,97,388,1455,1067
881,1.0,1.0,1.0,98,392,1470,1078
909,1.0,1.0,1.0,99,396,1485,1089
915,1.0,1.0,1.0,100,400,1500,1100
924,1.0,1.0,1.0,101,404,1515,1111
930,1.0,1.0,1.0,102,408,1530,1122
941,1.0,1.0,1.0,103,412,1545,1133
951,1.0,1.0,1.0,104,416,1560,1144
975,1.0,1.0,1.0,105,420,1575,1155
977,1.0,1.0,1.0,106,424,1590,1166
978,1.0,1.0,1.0,107,428,1605,1177
980,1.0,1.0,1.0,108,432,1620,1188
993,1.0,1.0,1.0,109,436,1635,1199
999,1.0,1.0,1.0,110,440,1650,1210
1005,1.0,1.0,1.0,111,444,1665,1221
1006,1.0,1.0,1.0,112,448,1680,1232
1010,1.0,1.0,1.0,113,452,1695,1243
1020,1.0,1.0,1.0,114,456,1710,1254
1021,1.0,1.0,1.0,115,460,1725,1265
1029,1.0,1.0,1.0,116,464,1740,1276
1034,1.0,1.0,1.0,117,468,1755,1287
1046,1.0,1.0,1.0,118,472,1770,1298
1048,1.0,1.0,1.0,119,476,1785,1309
1059,1.0,1.0,1.0,120,480,1800,1320
1064,1.0,1.0,1.0,121,484,1815,1331
1071,1.0,1.0,1.0,122,488,1830,1342
1073,1.0,1.0,1.0,123,492,1845,1353
1074,1.0,1.0,1.0,124,496,1860,1364
1076,1.0,1.0,1.0,125,500,1875,1375
1080,1.0,1.0,1.0,126,504,1890,1386
1082,1.0,1.0,1.0,127,508,1905,1397
1090,1.0,1.0,1.0,128,512,1920,1408
1092,1.0,1.0,1.0,129,516,1935,1419
1093,1.0,1.0,1.0,130,520,1950,1430
1098,1.0,1.0,1.0,131,524,1965,1441
1100,1.0,1.0,1.0,132,528,1980,1452
1114,1.0,1.0,1.0,133,532,1995,1463
1124,1.0,1.0,1.0,134,536,2010,1474
1142,1.0,1.0,1.0,135,540,2025,1485
1151,1.0,1.0,1.0,136,544,2040,1496
1170,1.0,1.0,1.0,137,548,2055,1507
1193,1.0,1.0,1.0,138,552,2070,1518
1194,1.0,1.0,1.0,139,556,2085,1529
1195,1.0,1.0,1.0,140,560,2100,1540
1201,1.0,1.0,1.0,141,564,2115,1551
1206,1.0,1.0,1.0,142,568,2130,1562
1231,1.0,1.0,1.0,143,572,2145,1573
1236,1.0,1.0,1.0,144,576,2160,1584
1266,1.0,1.0,1.0,145,580,2175,1595
1280,1.0,1.0,1.0,146,584,2190,1606
1283,1.0,1.0,1.0,147,588,2205,1617
1287,1.0,1.0,1.0,148,592,2220,1628
1302,1.0,1.0,1.0,149,596,2235,1639
1308,1.0,1.0,1.0,150,600,2250,1650
1309,1.0,1.0,1.0,151,604,2265,1661
1321,1.0,1.0,1.0,152,608,2280,1672
1328,1.0,1.0,1.0,153,612,2295,1683
1348,1.0,1.0,1.0,154,616,2310,1694
1350,1.0,1.0,1.0,155,620,2325,1705
1394,1.0,1.0,1.0,156,624,2340,1716
1399,1.0,1.0,1.0,157,628,2355,1727
1400,1.0,1.0,1.0,158,632,2370,1738
1401,1.0,1.0,1.0,159,636,2385,1749
1417,1.0,1.0,1.0,160,640,2400,1760
1427,1.0,1.0,1.0,161,644,2415,1771
1430,1.0,1.0,1.0,162,648,2430,1782
1439,1.0,1.0,1.0,163,652,2445,1793
1440,1.0,1.0,1.0,164,656,2460,1804
1458,1.0,1.0,1.0,165,660,2475,1815
1484,1.0,1.0,1.0,166,664,2490,1826
1499,1.0,1.0,1.0,167,668,2505,1837
1503,1.0,1.0,1.0,168,672,2520,1848
1504,1.0,1.0,1.0,169,676,2535,1859
1508,1.0,1.0,1.0,170,680,2550,1870
1510,1.0,1.0,1.0,171,684,2565,1881
1515,1.0,1.0,1.0,172,688,2580,1892
1520,1.0,1.0,1.0,173,692,2595,1903
1521,1.0,1.0,1.0,174,696,2610,1914
1523,1.0,1.0,1.0,175,700,2625,1925
1524,1.0,1.0,1.0,176,704,2640,1936
1536,1.0,1.0,1.0,177,708,2655,1947
1538,1.0,1.0,1.0,178,712,2670,1958
1541,1.0,1.0,1.0,179,716,2685,1969
1555,1.0,1.0,1.0,180,720,2700,1980
1574,1.0,1.0,1.0,181,724,2715,1991
1578,1.0,1.0,1.0,182,728,2730,2002
1584,1.0,1.0,1.0,183,732,2745,2013
1588,1.0,1.0,1.0,184,736,2760,2024
1589,1.0,1.0,1.0,185,740,2775,2035
1590,1.0,1.0,1.0,186,744,2790,2046
1598,1.0,1.0,1.0,187,748,2805,2057
1606,1.0,1.0,1.0,188,752,2820,2068
1608,1.0,1.0,1.0,189,756,2835,2079
1635,1.0,1.0,1.0,190,760,2850,2090
1636,1.0,1.0,1.0,191,764,2865,2101
1641,1.0,1.0,1.0,192,768,2880,2112
1653,1.0,1.0,1.0,193,772,2895,2123
1660,1.0,1.0,1.0,194,776,2910,2134
1667,1.0,1.0,1.0,195,780,2925,2145
1682,1.0,1.0,1.0,196,784,2940,2156
1684,1.0,1.0,1.0,197,788,2955,2167
1691,1.0,1.0,1.0,198,792,2970,2178
1698,1.0,1.0,1.0,199,796,2985,2189
1701,1.0,1.0,1.0,200,800,3000,2200
1729,1.0,1.0,1.0,201,804,3015,2211
1734,1.0,1.0,1.0,202,808,3030,2222
1736,1.0,1.0,1.0,203,812,3045,2233
1757,1.0,1.0,1.0,204,816,3060,2244
1765,1.0,1.0,1.0,205,820,3075,2255
1767,1.0,1.0,1.0,206,824,3090,2266
1774,1.0,1.0,1.0,207,828,3105,2277
1782,1.0,1.0,1.0,208,832,3120,2288
1787,1.0,1.0,1.0,209,836,3135,2299
1790,1.0,1.0,1.0,210,840,3150,2310
1798,1.0,1.0,1.0,211,844,3165,2321
1800,1.0,1.0,1.0,212,848,3180,2332
1813,1.0,1.0,1.0,213,852,3195,2343
1822,1.0,1.0,1.0,214,856,3210,2354
1825,1.0,1.0,1.0,215,860,3225,2365
1831,1.0,1.0,1.0,216,864,3240,2376
1870,1.0,1.0,1.0,217,868,3255,2387
1872,1.0,1.0,1.0,218,872,3270,2398
1882,1.0,1.0,1.0,219,876,3285,2409
1884,1.0,1.0,1.0,220,880,3300,2420
1900,1.0,1.0,1.0,221,884,3315,2431
1902,1.0,1.0,1.0,222,888,3330,2442
1906,1.0,1.0,1.0,223,892,3345,2453
1907,1.0,1.0,1.0,224,896,3360,2464
1909,1.0,1.0,1.0,225,900,3375,2475
1918,1.0,1.0,1.0,226,904,3390,2486
1924,1.0,1.0,1.0,227,908,3405,2497
1928,1.0,1.0,1.0,228,912,3420,2508
1930,1.0,1.0,1.0,229,916,3435,2519
