index,actual,predicted,probability,cumul_pos
2,1.0,1.0,1.0,1
10,1.0,1.0,1.0,2
29,1.0,1.0,1.0,3
47,1.0,1.0,1.0,4
63,1.0,1.0,1.0,5
71,1.0,1.0,1.0,6
75,1.0,1.0,1.0,7
81,1.0,1.0,1.0,8
85,1.0,1.0,1.0,9
89,1.0,1.0,1.0,10
96,1.0,1.0,1.0,11
103,1.0,1.0,1.0,12
125,1.0,1.0,1.0,13
131,1.0,1.0,1.0,14
140,1.0,1.0,1.0,15
146,1.0,1.0,1.0,16
165,1.0,1.0,1.0,17
168,1.0,1.0,1.0,18
170,1.0,1.0,1.0,19
175,1.0,1.0,1.0,20
181,1.0,1.0,1.0,21
193,1.0,1.0,1.0,22
195,1.0,1.0,1.0,23
201,1.0,1.0,1.0,24
202,1.0,1.0,1.0,25
203,1.0,1.0,1.0,26
229,1.0,1.0,1.0,27
235,1.0,1.0,1.0,28
239,1.0,1.0,1.0,29
260,1.0,1.0,1.0,30
262,1.0,1.0,1.0,31
275,1.0,1.0,1.0,32
276,1.0,1.0,1.0,33
287,1.0,1.0,1.0,34
293,1.0,1.0,1.0,35
307,1.0,1.0,1.0,36
309,1.0,1.0,1.0,37
311,1.0,1.0,1.0,38
317,1.0,1.0,1.0,39
323,1.0,1.0,1.0,40
332,1.0,1.0,1.0,41
335,1.0,1.0,1.0,42
338,1.0,1.0,1.0,43
340,1.0,1.0,1.0,44
361,1.0,1.0,1.0,45
390,1.0,1.0,1.0,46
395,1.0,1.0,1.0,47
406,1.0,1.0,1.0,48
426,1.0,1.0,1.0,49
427,1.0,1.0,1.0,50
430,1.0,1.0,1.0,51
435,1.0,1.0,1.0,52
438,1.0,1.0,1.0,53
443,1.0,1.0,1.0,54
446,1.0,1.0,1.0,55
449,1.0,1.0,1.0,56
454,1.0,1.0,1.0,57
458,1.0,1.0,1.0,58
465,1.0,1.0,1.0,59
486,1.0,1.0,1.0,60
500,1.0,1.0,1.0,61
503,1.0,1.0,1.0,62
543,1.0,1.0,1.0,63
550,1.0,1.0,1.0,64
553,1.0,1.0,1.0,65
578,1.0,1.0,1.0,66
580,1.0,1.0,1.0,67
601,1.0,1.0,1.0,68
607,1.0,1.0,1.0,69
610,1.0,1.0,1.0,70
617,1.0,1.0,1.0,71
656,1.0,1.0,1.0,72
662,1.0,1.0,1.0,73
668,1.0,1.0,1.0,74
669,1.0,1.0,1.0,75
677,1.0,1.0,1.0,76
679,1.0,1.0,1.0,77
699,1.0,1.0,1.0,78
719,1.0,1.0,1.0,79
726,1.0,1.0,1.0,80
731,1.0,1.0,1.0,81
735,1.0,1.0,1.0,82
744,1.0,1.0,1.0,83
748,1.0,1.0,1.0,84
759,1.0,1.0,1.0,85
775,1.0,1.0,1.0,86
817,1.0,1.0,1.0,87
818,1.0,1.0,1.0,88
820,1.0,1.0,1.0,89
826,1.0,1.0,1.0,90
844,1.0,1.0,1.0,91
851,1.0,1.0,1.0,92
853,1.0,1.0,1.0,93
857,1.0,1.0,1.0,94
863,1.0,1.0,1.0,95
875,1.0,1.0,1.0,96
876,1.0,1.0,1.0,97
881,1.0,1.0,1.0,98
909,1.0,1.0,1.0,99
915,1.0,1.0,1.0,100
924,1.0,1.0,1.0,101
930,1.0,1.0,1.0,102
941,1.0,1.0,1.0,103
951,1.0,1.0,1.0,104
975,1.0,1.0,1.0,105
977,1.0,1.0,1.0,106
978,1.0,1.0,1.0,107
980,1.0,1.0,1.0,108
993,1.0,1.0,1.0,109
999,1.0,1.0,1.0,110
1005,1.0,1.0,1.0,111
1006,1.0,1.0,1.0,112
1010,1.0,1.0,1.0,113
1020,1.0,1.0,1.0,114
1021,1.0,1.0,1.0,115
1029,1.0,1.0,1.0,116
1034,1.0,1.0,1.0,117
1046,1.0,1.0,1.0,118
1048,1.0,1.0,1.0,119
1059,1.0,1.0,1.0,120
1064,1.0,1.0,1.0,121
1071,1.0,1.0,1.0,122
1073,1.0,1.0,1.0,123
1074,1.0,1.0,1.0,124
1076,1.0,1.0,1.0,125
1080,1.0,1.0,1.0,126
1082,1.0,1.0,1.0,127
1090,1.0,1.0,1.0,128
1092,1.0,1.0,1.0,129
1093,1.0,1.0,1.0,130
1098,1.0,1.0,1.0,131
1100,1.0,1.0,1.0,132
1114,1.0,1.0,1.0,133
1124,1.0,1.0,1.0,134
1142,1.0,1.0,1.0,135
1151,1.0,1.0,1.0,136
1170,1.0,1.0,1.0,137
1193,1.0,1.0,1.0,138
1194,1.0,1.0,1.0,139
1195,1.0,1.0,1.0,140
1201,1.0,1.0,1.0,141
1206,1.0,1.0,1.0,142
1231,1.0,1.0,1.0,143
1236,1.0,1.0,1.0,144
1266,1.0,1.0,1.0,145
1280,1.0,1.0,1.0,146
1283,1.0,1.0,1.0,147
1287,1.0,1.0,1.0,148
1302,1.0,1.0,1.0,149
1308,1.0,1.0,1.0,150
1309,1.0,1.0,1.0,151
1321,1.0,1.0,1.0,152
1328,1.0,1.0,1.0,153
1348,1.0,1.0,1.0,154
1350,1.0,1.0,1.0,155
1394,1.0,1.0,1.0,156
1399,1.0,1.0,1.0,157
1400,1.0,1.0,1.0,158
1401,1.0,1.0,1.0,159
1417,1.0,1.0,1.0,160
1427,1.0,1.0,1.0,161
1430,1.0,1.0,1.0,162
1439,1.0,1.0,1.0,163
1440,1.0,1.0,1.0,164
1458,1.0,1.0,1.0,165
1484,1.0,1.0,1.0,166
1499,1.0,1.0,1.0,167
1503,1.0,1.0,1.0,168
1504,1.0,1.0,1.0,169
1508,1.0,1.0,1.0,170
1510,1.0,1.0,1.0,171
1515,1.0,1.0,1.0,172
1520,1.0,1.0,1.0,173
1521,1.0,1.0,1.0,174
1523,1.0,1.0,1.0,175
1524,1.0,1.0,1.0,176
1536,1.0,1.0,1.0,177
1538,1.0,1.0,1.0,178
1541,1.0,1.0,1.0,179
1555,1.0,1.0,1.0,180
