index,actual,predicted,probability,cumulative_pos,cost,revenue,profit
1,0.0,0.0,0.0,0,4,0,-4
2,1.0,1.0,1.0,1,8,15,7
3,0.0,0.0,0.0,1,12,15,3
4,0.0,0.0,0.5,1,16,15,-1
5,0.0,0.0,0.0,1,20,15,-5
6,0.0,0.0,0.0,1,24,15,-9
7,0.0,0.0,0.0,1,28,15,-13
8,0.0,0.0,0.0,1,32,15,-17
9,0.0,0.0,0.0,1,36,15,-21
10,1.0,1.0,1.0,2,40,30,-10
11,1.0,0.0,0.5,3,44,45,1
12,0.0,0.0,0.0,3,48,45,-3
13,0.0,0.0,0.0,3,52,45,-7
14,0.0,0.0,0.0,3,56,45,-11
15,0.0,0.0,0.0,3,60,45,-15
16,0.0,0.0,0.0,3,64,45,-19
17,0.0,0.0,0.0,3,68,45,-23
18,0.0,0.0,0.0,3,72,45,-27
19,0.0,0.0,0.0,3,76,45,-31
20,0.0,0.0,0.0,3,80,45,-35
21,0.0,0.0,0.0,3,84,45,-39
22,0.0,0.0,0.0,3,88,45,-43
23,0.0,0.0,0.0,3,92,45,-47
24,0.0,0.0,0.0,3,96,45,-51
25,0.0,0.0,0.0,3,100,45,-55
26,0.0,0.0,0.0,3,104,45,-59
27,0.0,0.0,0.0,3,108,45,-63
28,0.0,0.0,0.0,3,112,45,-67
29,1.0,1.0,1.0,4,116,60,-56
30,0.0,0.0,0.0,4,120,60,-60
31,0.0,0.0,0.0,4,124,60,-64
32,1.0,1.0,1.0,5,128,75,-53
33,0.0,0.0,0.0,5,132,75,-57
34,0.0,0.0,0.0,5,136,75,-61
35,0.0,0.0,0.2,5,140,75,-65
36,0.0,0.0,0.0,5,144,75,-69
37,0.0,0.0,0.0,5,148,75,-73
38,0.0,0.0,0.0,5,152,75,-77
39,0.0,1.0,0.6666666666666666,5,156,75,-81
40,0.0,0.0,0.0,5,160,75,-85
41,0.0,0.0,0.0,5,164,75,-89
42,0.0,0.0,0.0,5,168,75,-93
43,0.0,0.0,0.0,5,172,75,-97
44,0.0,0.0,0.0,5,176,75,-101
45,0.0,0.0,0.0,5,180,75,-105
46,1.0,0.0,0.5,6,184,90,-94
47,1.0,1.0,1.0,7,188,105,-83
48,0.0,0.0,0.0,7,192,105,-87
49,0.0,0.0,0.0,7,196,105,-91
50,0.0,0.0,0.0,7,200,105,-95
51,0.0,0.0,0.0,7,204,105,-99
52,0.0,0.0,0.0,7,208,105,-103
53,1.0,0.0,0.2,8,212,120,-92
54,0.0,0.0,0.0,8,216,120,-96
55,0.0,0.0,0.0,8,220,120,-100
56,0.0,0.0,0.0,8,224,120,-104
57,0.0,0.0,0.0,8,228,120,-108
58,0.0,0.0,0.0,8,232,120,-112
59,0.0,0.0,0.0,8,236,120,-116
60,0.0,0.0,0.0,8,240,120,-120
61,1.0,1.0,0.6666666666666666,9,244,135,-109
62,0.0,0.0,0.0,9,248,135,-113
63,1.0,1.0,1.0,10,252,150,-102
64,0.0,0.0,0.0,10,256,150,-106
65,0.0,0.0,0.0,10,260,150,-110
66,0.0,0.0,0.0,10,264,150,-114
67,0.0,0.0,0.0,10,268,150,-118
68,0.0,0.0,0.0,10,272,150,-122
69,0.0,0.0,0.0,10,276,150,-126
70,1.0,0.0,0.25,11,280,165,-115
71,1.0,1.0,1.0,12,284,180,-104
72,0.0,0.0,0.0,12,288,180,-108
73,0.0,0.0,0.0,12,292,180,-112
74,0.0,0.0,0.5,12,296,180,-116
75,1.0,1.0,1.0,13,300,195,-105
76,0.0,0.0,0.0,13,304,195,-109
77,0.0,0.0,0.0,13,308,195,-113
78,0.0,0.0,0.0,13,312,195,-117
79,0.0,0.0,0.0,13,316,195,-121
80,0.0,0.0,0.0,13,320,195,-125
81,1.0,1.0,1.0,14,324,210,-114
82,0.0,0.0,0.0,14,328,210,-118
83,0.0,0.0,0.0,14,332,210,-122
84,0.0,0.0,0.0,14,336,210,-126
85,1.0,1.0,1.0,15,340,225,-115
86,0.0,0.0,0.0,15,344,225,-119
87,0.0,0.0,0.0,15,348,225,-123
88,0.0,0.0,0.0,15,352,225,-127
89,1.0,1.0,0.6666666666666666,16,356,240,-116
90,0.0,0.0,0.0,16,360,240,-120
91,1.0,1.0,0.6666666666666666,17,364,255,-109
92,0.0,0.0,0.0,17,368,255,-113
93,0.0,0.0,0.0,17,372,255,-117
94,0.0,0.0,0.0,17,376,255,-121
95,0.0,0.0,0.0,17,380,255,-125
96,1.0,1.0,1.0,18,384,270,-114
97,0.0,0.0,0.0,18,388,270,-118
98,0.0,0.0,0.0,18,392,270,-122
99,0.0,0.0,0.0,18,396,270,-126
100,0.0,0.0,0.0,18,400,270,-130
101,0.0,0.0,0.0,18,404,270,-134
102,0.0,0.0,0.0,18,408,270,-138
103,1.0,1.0,0.8,19,412,285,-127
104,0.0,0.0,0.0,19,416,285,-131
105,0.0,0.0,0.0,19,420,285,-135
106,0.0,0.0,0.0,19,424,285,-139
107,0.0,0.0,0.0,19,428,285,-143
108,0.0,0.0,0.0,19,432,285,-147
109,0.0,0.0,0.0,19,436,285,-151
110,0.0,0.0,0.0,19,440,285,-155
111,1.0,1.0,0.6666666666666666,20,444,300,-144
112,0.0,0.0,0.0,20,448,300,-148
113,0.0,0.0,0.0,20,452,300,-152
114,0.0,0.0,0.0,20,456,300,-156
115,0.0,0.0,0.0,20,460,300,-160
116,0.0,0.0,0.0,20,464,300,-164
117,0.0,0.0,0.0,20,468,300,-168
118,0.0,0.0,0.25,20,472,300,-172
119,0.0,0.0,0.0,20,476,300,-176
120,0.0,0.0,0.0,20,480,300,-180
121,0.0,0.0,0.0,20,484,300,-184
122,0.0,0.0,0.0,20,488,300,-188
123,0.0,0.0,0.0,20,492,300,-192
124,0.0,0.0,0.0,20,496,300,-196
125,1.0,1.0,1.0,21,500,315,-185
126,0.0,0.0,0.0,21,504,315,-189
127,0.0,0.0,0.0,21,508,315,-193
128,0.0,0.0,0.0,21,512,315,-197
129,0.0,0.0,0.0,21,516,315,-201
130,0.0,0.0,0.25,21,520,315,-205
131,1.0,1.0,1.0,22,524,330,-194
132,0.0,0.0,0.0,22,528,330,-198
133,0.0,0.0,0.0,22,532,330,-202
